Title,Genres,Release Date,Country,Movie Rating,Review Rating,Movie Run Time,Cast,Language,Budget
Theatre of the Deranged (2012), Comedy| Horror| Thriller,20/06/2012,USA,RATED,4.3,66,Cory Jacob|Kirsty Hill|Shawn C. Phillips|Veronica Ricci|M. Kelley|James Cullen Bressack|Brian Dorton|Doug Waugh|Brian Redban|Jon Bloch|Douglas Conner|Kevin E. Scott|Stephen Phillips|Ethan Phillips|Kim Phillips,English,1526
H Project (2013), Horror,31/10/2013,Thailand,RATED,4.8,118,Apinya Sakuljaroensuk|Pirat Nipitpaisalkul|Alexander Rendell|Sushar Manaying|Mek Mekwattana|Shô Nishino,Hindi,1950
A Devil's Wind (2017), Horror,25/07/2017,USA,UNRATED,3.7,90,Erica Leigh Boseski|Kayla Browne|Brielle Edborg|Mel Heflin|Vania Mendez,English,482
Bloody Drama (2017), Horror,30/10/2017,USA,RATED,0.2,90,Katusha Robert|Billionna Olivia Reyes|Cristina Cruz Rodríguez|Makayla Keck|Mike Ettnie|David Carbajal|Sky Hawkes|Scotty Walker|Ivy Lamb,English,52
Blood Rush (2012), Comedy| Drama| Horror,01/08/2012,USA,RATED,4.2,92,Kerry Finlayson|Don Donnelley|Christy Lee Hughes|Helen Soraya|Samantha Michelle|Emrhys Cooper|John Wuchte|Myles Cranford|Kaden Graves|J.P. Giuliotti|Danielle Reierson|Charles Iacuzzo|Granison Crawford|Amanda Barton|David Alen,English,1965
Absence (2013), Horror| Sci-Fi| Thriller,05/07/2013,USA,NOT RATED,4.1,84,Erin Way|Eric Matheny|Ryan Smale|Stephanie Scholz|Tamra Meskimen|David Paladino|Lee Burns|Linda Paice|Michael Angelo Covino|Don Moss,English,1836
The Thingy: Confessions of a Teenage Placenta (2013), Comedy| Drama| Horror,25/06/2013,Belgium,RATED,5.6,84,Pascal Maetens|Karel Vingerhoets|Celine Verbeeck|Jérémie Petrus|Andreas Perschewski|Sofie Hoflack|Koen Blauwblomme|Korneel Cornelis|Gert Jochems|Chris Bale|Renato Brabants|Miro Brooks|Wim A. Christiaens|Eline Danasovsky|Ben De Raes,English,266
Coven (2017), Horror,09/07/1905,USA,RATED,0.5,90,Terri Ivens|Sofya Skya|Jocelyn Saenz|Lizze Gordon|Jennifer Cipolla|Adam Horner|Jessica Louise Long|Miranda O'Hare|Sara Stretton|Margot Major|Russell Herrera Jr.|Aaron James|Jarod Martin|Sophie Kiani,English,277
Dark Entry (2016), Horror,20/04/2016,USA,NOT RATED,9.5,87,Thomas David Dean|Jessica Anne Barone,English,1070
Bring Back the Dead (2015), Horror,08/01/2015,Singapore,RATED,6.4,86,Jesseca Liu|Ling Ling Liu|Wei-wen Chiang|Shawn Tan|Timothy Law|XueTing Tjoa|Lizzie.V.|Alan Yeo,Chinese,1287
Fear Is Coming (2016), Horror| Thriller,25/03/2016,China,RATED,4.4,90,Mengmeng Li|Jiao Ren|Mik Thongraya|Sunny Xie|Yang Xing|Xihan Xu|Yoyo,Chinese,1279
The Summer of Massacre (2012), Horror| Thriller,24/01/2012,USA,RATED,2.6,90,Brinke Stevens|Nick Principe|Cleve Hall|Lisa M. Garcia|Lauren Boehm|Scott Barrows|Felipe Winslett|Sean Abley|Daniel Aldema|Ted Alderman|Nick Rey Angelus|Ken Ashe|Rod Barroso|Tchia Casselle|Joe Castro,English,1707
Ang pagsanib kay Leah Dela Cruz (2017), Drama| Horror| Mystery| Thriller,28/06/2017,Philippines,RATED,5.3,97,Sarah Lahbati|Shy Carlos|Julian Trono|Mailes Kanapi|Michael Rivero|Olive Nieto|Micah Muñoz|Aireen Almonte|Jim Paredes,Filipino,1835
The Wolves of Savin Hill (2017), Crime| Drama| Horror,01/09/2017,USA,RATED,7.4,100,David Cooley|Brian Scannell|Kurt Fuller|Jack McGee|Michael Massee|Paul Carafotes|Tim DeZarn|Tonya Cornelisse|Megan Davis|Suzanne Willard|Jordan Van Vranken|Marco Verdier|Jason Oliver|Tiprin Mandalay|Nicole Haddad,English,1361
She Wolf (2013), Action| Horror| Thriller,20/09/2013,USA,RATED,5.9,92,Mónica Lairana|Guadalupe Docampo|Luján Ariza|Edgardo Castro|Nicolás Gold|Guillermo Pfening|Germán Da Silva|César Bordón|Hernán Bustos|Miguel Forza de Paul|Javier De Pietro|José Luciano González|Diego Rinaldi,Spanish,859
The Second Coming (2014), Fantasy| Horror| Thriller,13/03/2014,Singapore,RATED,4.8,88,Yuet Chin|Joey Leong|Donald Li|Yat-Long Li|Maggie Siu|Cindy Sin Yee Wong|Kenny Wong|Tak-Bun Wong,Chinese,1543
Necronos (2010), Horror,18/03/2014,USA,NOT RATED,3.8,127,Thomas Sender|Manoush|Timo Fuchs|Mario Zimmerschitt|Alexander Andreszka|Tanja Karius|Saskia Neumüller|Mike Weishaupt|Denissa Schmidt|Toni Reckert|Patrick Bender|Luna B.|Bloody Marlen|Ann-Christin Rosenkranz|Andrea Schmitt,German,1548
Death Do Us Apart (2014), Comedy| Horror,01/07/2014,UK,RATED,6.5,90,Maxine Barnham|Jane Foufas|Joseph Gale|Jema Gilsenan|Wayne Gordon|Andy Mcleod|Josh Myers|Martin Myers|Sagar Radia|David Roden|Georgina Stupar|Lucinda Rhodes Thakrar|Simon Warner,English,593
Another Kind (2013), Horror| Thriller,23/11/2013,USA,NOT RATED,5.2,76,Jamie Law|Nate Miller|Laura Ramadei|Patrick Woodall,English,1934
Still (2016), Comedy| Horror,26/10/2016,USA,RATED,8.4,90,Joe Capella|Jonathan Hickman|Lisa Barnett|Sharon Elizabeth Greenwood|Rob Hall|Julie Wallis,English,1791
P.O.V. - A Cursed Film (2012), Horror,18/02/2012,Japan,RATED,5.8,92,Yasuyuki Hirano|Haruna Kawaguchi|Takashi Kodama|Yasuto Kosuda|Yûki Mashita|Mayu Miura|Mirai Shida|Ami Shimazaki,Japanese,982
Mon Son Phee (2015), Comedy| Horror,29/10/2015,Thailand,RATED,5.8,90,Nutcha Jeka|Sean Jindachot|Timethai Plangsilp|Pongsatorn Sripinta|Theeradanai Suwannahom|Puvadol Vechwongsa,Hindi,121
"Die, My Dear (2017)", Drama| Horror| Thriller,09/07/1905,USA,RATED,7.4,90,Thomas Burks|Deirdre McCauley|Jeannie Ferrara|Bobe Kirsche|Michelle Vallentyne|Penelope Morgan,English,1959
Red Sword (2012), Horror,03/03/2012,Japan,RATED,6.8,76,Asami|Momoka Nishina|Tomoaki Sandan|Manzô Shinra|Natsuki Yonemoto,Japanese,528
Dead Again (2017), Horror,11/08/2017,India,RATED,9.7,90,Bong-gi Baek|Seung-Ri Ha|Da-Yeong Ju|Dong-jun Kim|Seong Yoon Kim|Han-wi Lee|Min-woo Lee,Korean,1137
Tragic Theater (2015), Horror,08/01/2015,Philippines,RATED,3.2,95,Christopher De Leon|John Estrada|Andi Eigenmann|Jovic Monsod|Arvic Rivero|Roxanne Barcelo|Josh Padilla|Gab de Leon|Carissa Quintas|Janna Roque|Chloe Dauden|Clint Bondad|Sara Polverini|Sheng Belmonte|Jourdanne Castillo,Filipino,982
Dead Sunrise (2016), Adventure| Horror| Sci-Fi| Thriller,13/09/2016,Australia,RATED,5.7,120,Cloé Fournier|Barry French|Corinne Furlong|Peter Maple|Roman Mellis|Georgina Neville|Brooke Ryan|Damian Sommerlad,English,1136
Greatful Dead (2013), Horror,26/01/2015,UK,RATED,6.5,97,Aira|Itsuji Itao|Yoichiro Kawakami|Kkobbi Kim|Hôka Kinoshita|Kenji Matsuda|Wakana Sakai|Takashi Sasano|Kumi Takiuchi|Taro Yabe,Japanese,80
Collapse (2011), Horror| Thriller,23/09/2014,USA,NOT RATED,4.9,88,Chris Mulkey|Karen Landry|Travis Slade Reinders|Linnea Quigley|Angela Gollan|Michael Cornelison|Travis Shepherd|Clint Curtis|Mike Tweeton|Ray H. Thompson|Justin Marxen|Ethan Henry|Troy Hollatz|Justin Beahm|Lauren Bartusek,English,918
Crayon Shinchan: My Moving Story (2015), Animation| Adventure| Comedy| Horror| Thriller,18/04/2015,Japan,RATED,7.1,90,Keiji Fujiwara|Satomi Kôrogi|Daisuke Namikawa|Miki Narahashi|Maaya Sakamoto|Rino Sashihara|Akiko Yajima,Japanese,1727
Roadside Massacre (2012), Horror,12/09/2013,Germany,UNRATED,2.7,83,Marina Resa|Elio Mardini|Dusty Probert|Matthew Schiltz|Fragino M. Arola|Summer Lima|Master Dave Johnson|Jordan Martin|Scott Seargeant|Christina L. Tellifson|Mark MacPherson|Nicole Margulis|Alexis Schneider|Jason James|Michael Jaurigue,English,432
Everto (2015), Drama| Horror| Mystery,23/05/2016,USA,NOT RATED,4.2,114,Alessandra Spoletini|Allison Schuette|Jonathan Schneider|Michael Schneider|Thomas Ouimette|Adam Yoder|Heather Nelson|Erica Matthews|Sean Demma|Dave Madden|Kevin Herrera|Jamie Morgan|James S. Cacciatore|Kyle Robertson|Chelsey Gibson,English,1540
The 13th Unit (2014), Horror| Sci-Fi| Thriller,01/02/2014,USA,RATED,2.7,79,John Allen Phillips|Lance Aaron|Aidan Bristow|Robbie Daymond|Rocki DuCharme|Carlos Joseph|Kate Kelly|Amanda May|Jenna McCombie|Matthew Keoki Miller|Chris Noonan|Barry Onody|Sarah Yahr Tucker,English,874
The Crypt (2009), Horror,29/01/2015,Peru,RATED,3.4,84,Sarah Oh|Mike Ranallo|Abra May|Cristen Irene|Joanna Ke|Delaina Stevens|R. Keith Wilson|Nathan Hill|Michael David Hill|Hollywood Yates|Seth Gandrud|Savanah D. McMahon|E. Adam Thomas,English,1486
Demon (2013), Horror,01/09/2013,USA,RATED,3.2,90,Jasmine Waltz|Michael Placencia|Bill Houskeeper|Joel D. Wynkoop|Michele L'Amourt|John A. Schakel Jr.|Bob Glazier|Leo Demski|Gianpero Fuentes|John Gabriel|Jil Myers|Owen Robertson|Robin Ruhmke|Jeremiah Vaughn|Thomas Williamson,English,203
Zombie Beach (2010), Action| Comedy| Horror| Musical| Mystery| Romance| Thriller,21/02/2017,USA,UNRATED,6.9,71,Mukesh Asopa|Katherine Stefanski|Kamal Nandi|Kevin Tracy|Kristi Woods|Rick Cordeiro|Ariestarr|Dane Beck|Patrizia Berardini|Shayne Cameron|Alex Currie|Lisa Dang|Andrew Demarsh|Wade Gamble|Thai Huynh,English,806
Time to Kill (2014), Action| Horror| Thriller,21/03/2014,USA,RATED,5.7,71,Ellie Church|Debbie Rochon|Charlie Moon|Jason Hignite|Christine Carollo|Miles Spinelli|Edward Gracey|Cassandra Baun|Brigid Macaulay|Kristi Komet|Danyelle Rayna|Maella Cai Vane|Bob East|Branden Yates|Lady,English,1100
Feed the light (2014), Horror,12/04/2014,USA,RATED,7.2,75,Lina Sundén|Martin Jirhamn|Jenny Lampa|Patrik Karlson|Ingrid Torstensson|Morgan Schagerberg|Henrik Möller|Henrik Rambe|Peter Wirén|Håkan Elliot|Frank|Niklas Jönsson|Peter Persson|Osten Östberg|Karin Bertling,Other,1944
Cool as Hell (2013), Comedy| Horror,19/02/2013,USA,NOT RATED,4.4,100,James Balsamo|Tom Savini|Andrew W.K.|Dan E. Danger|Frank Mullen|David Naughton|Billy Walsh|Tim Ritter|Scott Levy|Donald Farmer|Caleb Emerson|Lauren Adamkiewicz|Samantha Rose|Sam Awry|Mike Ceglia,English,1699
O.T. The Movie (2014), Comedy| Horror| Thriller,23/10/2014,Thailand,RATED,6.4,96,Ananda Everingham|Patty Hokari|Ray MacDonald|Akkarat Nimitchai|Nalintip Permpattarasakul|Atthaphan Poonsawas|Shahkrit Yamnarm,Hindi,295
21 (2016), Horror,29/07/2016,India,RATED,8.2,98,Viswa Kamal|Naveen Maryada|Vindhya Yadav,Other,1221
The Giant Spider (2013), Horror| Sci-Fi,01/05/2013,USA,RATED,6.6,71,Shannon McDonough|Daniel Sjerven|Billie Jo Konze|Michael Cook|James Norgard|Mark Haider|Ware Carlton-Ford|Aaron Courteau|Elliott Mihm|Alice Mihm|Stephanie Mihm|Cherie Gallinati|Kira Pontiff|Melissa Dirtzu|Ann Segar,English,922
Dark Waves (2015), Fantasy| Horror,09/08/2016,USA,RATED,4.3,86,Giovanni Andriuoli|Angelo Campus|Luca Canonici|David D'Ingeo|Nancy de Lucia|Gabriele Guerra|Arian Levanael|Antonella Salvucci,Italian,174
Pwera usog (2017), Horror,08/03/2017,Philippines,RATED,7.1,93,Joseph Marco|Sofia Andres|Albie Casiño|Devon Seron|Kiko Estrada|Aiko Melendez|Eula Valdez|Cherise Castro|Rommel Padilla|Ashley Sarmiento|Gelo Alvaran|Pontri Bernardo|Erlinda Villalobos|Basti Santos,Filipino,291
Bad Building (2015), Horror,06/08/2015,USA,NOT RATED,3,75,Simone Alexander|Jimmy Breau|Kindall Charters|Bram Costello|Paige Farbacher|Havana Guppy|Taylor Hastings|Glenn Hoffmann|Nora Jamal|Justin Jones|Kayla Lynn Lewis|Anthony MacLean|Will E. McDonald|Yuki Morita|Heidy Rincon,English,223
Paranormal Island (2014), Horror,10/12/2016,Philippines,NOT RATED,3.1,82,Briana Evigan|Lance Henriksen|Randy Wayne|Brian Christensen|Ben Elliott|Joe Farina|Eddie J. Fernandez Jr.|Stacy Fuson|Patrick Giraudi|Sarah Karges|Ashley Lobo|Ben Marten|Steve Rally|Tony Valle|Quincy Villanueva,English,950
Darkness Wakes (2017), Horror,28/08/2017,UK,RATED,5.2,97,Aisling Knight|Richard Kilgour|Nick Bridge-Butler|Jill Buchanan|Bjorn Franklin|Jane Paul-Gets|Raph|Samantha Schnitzler|Matt Veckman,English,834
The Jokesters (2015), Comedy| Horror| Thriller,21/07/2015,USA,NOT RATED,3.6,80,Nathan Reid|Gabriel Tigerman|Luis Jose Lopez|Dante Spencer|Jen Yeager|Jodie Bentley|Jim Dowd|Angie Simms|Sandra Stone|Vanessa Elese Garcia|Caryn West|Michael Scheafer|Sammy Sage|Chamia Lane|Chris Fernandez,English,1782
House of Blood (2013), Action| Horror| Thriller,10/04/2013,USA,RATED,6.3,88,Peter Hooten|Brian Kahrs|Mike Kradlak|Jade Marie Lorraine|Owen Harn|Lauren Nash|Tiffany Gans|Armand Antonio Vidal|Ken Anthony II|Margrette Auril|Wes Boland|Christopher d Boone|Sandra Boone|Annette Breazeale|Robert Brown,English,1140
Expiration (2011), Horror| Thriller,12/03/2014,Philippines,NOT RATED,6.1,90,Brandon Auret|Clive Gilson|Craig Hawks|Christien Le Roux|Ryan Macquet|Alex Radntiz|Nic Rasenti|Ingeborg Riedmaier|Justin Strydom|Michael Thompson,English,1958
Still Life (2014), Horror| Mystery| Thriller,05/03/2015,Argentina,RATED,6.8,97,Sabrina Carballo|Luz Cipriota|Ezequiel De Almeida|Cristian Toti Iglesias|Walter Leiva|Nicolas Maiques|Liz Moreno|Berta Muñiz|Mercedes Oviedo|Juan Palomino|Nicolás Pauls|Verónica Pelaccini|Nestor Sanchez|Patricio Sardelli|Amin Yoma,Spanish,378
Kud Krachak Krien (2017), Horror,06/04/2017,Thailand,RATED,3.4,90,Paweena Chariffsakul|Kunatip Pinpradub|Anon Saisangcharn|Kittipat Samarntragulchai|Puvadol Vechwongsa,Hindi,180
Chill: The Killing Games (2013), Horror| Mystery| Thriller,22/09/2015,USA,RATED,3.4,114,Roger Conners|Bradley Michael Arner|Kelly Rogers|David Gilmore|Jason Orr|Angelia DeLuca|Erinn Bakun|D.J. Remark|Michael Kafury|Wednesday Vinson|Rick Montgomery Jr.|Meredith Holland|Bella Sin|Theresa Pedone|Janine Sarnowski,English,1181
Pretham (2016), Comedy| Horror| Mystery,12/08/2016,India,RATED,6.6,126,Jayasurya|Govind Padmasoorya|Aju Varghese|Sharafudheen|Shruti Ramachandran|Sharanya Menon|Hareesh Peradi|Pearle Maaney|Vijay Babu|Devan|Anjana Appukuttan|Dharmajan Bolgatty|Byon|Sathi Premji|Arya Rohit,Other,746
Sodomaniac (2015), Comedy| Horror,07/07/1905,USA,RATED,7.3,90,Craig Kelly|Allan Sconza|Steve Bump|Diana Caraccio|Quentin Carpenter|Carla Da Divva|Peter Dudley|Holly Feehan|Dale Gordon|Jim Grazz|Lawrence R. Greenberg|Nick Guzman|Nicole Hamilton|Greg Kline|Janice Lang,English,1339
Tied in Blood (2012), Drama| Horror| Mystery| Thriller,01/02/2012,USA,RATED,3.5,88,Paul McEwan|Laura Donoughue|Kenneth G. Hodgson|Chris Leach|Denise Cooke|Alan Brent|Christopher Havard|Anthony Watt|Alison Rust|Amie Morris|Dave Guest,English,1492
Make Me Shudder 3 (2015), Horror,04/03/2015,Thailand,RATED,4.9,90,Brian Richard Garton|Kunatip Pinpradub|Kittipat Samarntragulchai|Manithikhun Siraphop|Worachai Sirikongsuwan|Wiradit Srimalai|Rittichai Tasarika|Withawat Thaokhamlue|Puvadol Vechwongsa,Hindi,666
Ulterior Motives: Reality TV Massacre (2016), Drama| Horror| Mystery,12/10/2016,USA,RATED,7.8,81,Jaclyn Betham|Chris Hayes|Donnabella Mortel|Patrice Fisher|Vincent M. Ward|Brett Rickaby|Nick Steele|Scott Bailey|Lombardo Boyar|Sarodj Bertin|Laura Lee Cebrick|Noel Gibson|Lana Kinnear|Darrick Kinsey|Sisily Marin,English,1645
Krapiva (2016), Action| Comedy| Drama| Horror| Sci-Fi| Thriller,31/10/2016,Russia,RATED,7.9,63,Nikita Kuznetsov|Nikolay Yeriomin|Dmitriy Rasseko|Ivan Yakovidish|Sergey A.|Viktor Murzikov|Yuriy Andreev|Sergey Mudrov|Daniil Lazarenkov|Dmitriy Khmelyov|Artyom Tromskiy|Anzhela Lieders|Sergey Lesovoy|Evgeniy Mishukhin|Vlad Filin,Russian,1526
Juego Siniestro (2017), Horror,03/06/2017,Mexico,RATED,4.2,90,Miguel Arce|Attilia Boschetti|Mathías Brivio|Ismael Contreras|Claudia Dammert|Macarena Piana|Matías Raygada|Marcello Rivera|Hernán Romero|Leslie Shaw|Pietro Sibille|Micheille Soifer|Edgar Vivar|Milene Vásquez,Spanish,1281
Haunted Mansion (2015), Horror| Thriller,25/12/2015,Philippines,RATED,6.4,110,Janella Salvador|Marlo Mortel|Jerome Ponce|Janice de Belen|Iza Calzado|Dominic Ochoa|LJ Reyes|Joem Bascon|Sharlene San Pedro|Ingrid Dela Paz|Devon Seron|Eliza Pineda|Phytos Ramirez|Paolo Gumabao|Lilet,Filipino,1872
FPS: First Person Shooter (2014), Horror,08/04/2014,Austria,RATED,4.2,80,Jürgen Sütterlin|Sascha Strack|Atlanta Lützelschwab|Tobias Winkler|Hans Lützelschwab|Achim Lützelschwab|Sebastian Kettner|Andreas Luetzelschwab|Ines Klein|Stephan Weyte|Rob Banks|Keaton Blackwood|Rick Whelan|Josue Gaona|Ron Masa,English,711
Lost Place (2013), Horror| Mystery| Thriller,19/09/2013,Germany,RATED,4.4,101,François Goeske|Jytte-Merle Böhrnsen|Pit Bukowski|Josefine Preuß|Anatole Taubman|Björn Bugri|Georg Kammerer|Rike Eckermann|Oliver Koch|Jenny Bins,German,1767
Solitary Confinement (2017), Horror| Reality-TV| Thriller,01/10/2017,USA,RATED,4.7,90,Robert Carradine|Jose Rosete|Heather Dorff|Megan Le|Ally Holmes|John D. Crawford|Rachel Amanda Bryant|Robert Catrini|Kristyn Chalker|Raw Leiba|Trista Robinson|Jessica Cameron|Loren Ledesma|Jordan Mitchell-Love|Edward Hong,English,140
Prosper (2014), Horror| Thriller,03/03/2014,USA,RATED,8.8,93,April Hollingsworth|Shayla Love|Nic Wolfe|Davien Harlis|Renier Cortes|Walnette Marie Santiago|Anastasia Pekhtereva|Sonya Thompson|Diva Tyler|Addy Miller|Blake Cooper|Jade Nicolette|Garrick Parks|Susan D'Angelo|Samme William,English,110
Viewer Discretion Advised (1998), Comedy| Horror,01/05/2012,USA,NOT RATED,4.3,105,Ken Donovan|Philip Morton|Caroline Jett|Tommy Blaze|William Smith|Kerry Glamsch|John Huls|Paul Murphy|Michael DuMouchel|George N. Cahill III|Sheri Cook|Meaghan Prester|Marybeth Young,English,919
Brackenmore (2016), Horror| Thriller,08/07/1905,UK,RATED,4.7,72,Sophie Hopkins|Joe Kennard|Elaine Kennedy|Margaret O'Sullivan|D.J. McGrath|Bertie Brosnan|Helena O'Connor|Kieran Baker,English,814
The Acid Sorcerer (2017), Horror,10/06/2017,USA,RATED,6,90,Dakota Bailey|Larry Bay|Nick Benning|Fred Epstein|Darien Fawkes|Brian Knapp|Natasha Morgan|Selene Velveteen,English,1286
Hungerford (2014), Horror| Sci-Fi,03/10/2014,USA,RATED,4,79,Georgia Bradley|Sam Carter|Drew Casson|Mark Cusack|James Haslam|Matthew Jackson|Lee Kelly|Nigel Morgan|Colin Murtagh|Paul Radziwill|Tom Scarlett|Jenna Sharpe|Kitty Speed|Colin Stark,English,1714
Heavy Makeup (2015), Horror| Mystery| Thriller,30/10/2015,USA,RATED,8,120,Share Cherrie|Juli Kreko|Whitney Quinlan|Gia Franzia|Jessica Velle|Ophelia Demure|Belle Heflin|Rachel Alig|Brittany Andrews|Pedro Diaz|Anthony Carrillo|Zens Varoni|Angelie Hollywood|Patrick Moreira|J. Daniel Mesta,English,1934
A Rain Woman (2016), Horror,04/06/2016,Japan,RATED,1.2,90,Hono Miyabe|Nao|Nana Seino|Tomorô Taguchi|Yû Takahashi|Shuntarô Yanagi,Japanese,1178
Puzzle (2014), Horror| Thriller,08/03/2014,Japan,RATED,5.7,90,Kaho|Shûhei Nomura|Kazuya Takahashi|Kokone Sasaki|Ryûzô Tanaka|Baku Ohwada|Fumika Baba|Ryô Saeki|Keisuke Tomita|Kai Watanabe|Saori Yagi|Ryôta Yoshimitsu,Japanese,123
Upsidedown Cross (2014), Drama| Horror,25/09/2014,USA,RATED,5.3,96,Erin Russ|David Yow|Colleen Cohan|Rick Savage|Tina Krause|Mark DeMicco|Victor Bonacore|Charles Moran|G.J. Marko|William Hellfire,English,26
The Plague 2: Biohazard Blood (2017), Horror,11/06/2017,USA,RATED,9.1,80,Mirela Ajdimovski|Michael Balch|Rob Bickert III|Linda Bickert|Madelyn Bruno|Tyler Cheman|Mitch Cochran|Jamie Colby|Nicholas Duerr|Katherine Fudge|Leah Glendenning|Michelina Houlihan|John Karyus|Amira Keeton|Damien Keeton,English,396
Summit (2014), Comedy| Drama| Horror| Thriller,18/11/2014,USA,RATED,4.6,80,Lauren A. Kennedy|Emma Barrett|Rob Ceriello|Ricardo Manigat|Ryan Kramer|Rick Burtt|Liana Sarapas,English,671
Danau Hitam (2014), Horror,04/12/2014,Indonesia,RATED,8.7,90,Ganindra Bimo|Nadine Chandrawinata|Maria Selena|Denny Sumargo|Daniel Topan,Other,431
The 5th Kind (2017), Horror,20/08/2017,USA,RATED,4.2,72,Zech Johnson|Sean Taylor|Randall Cropp|Jeremy Michael Pereira|Christopher Cowley|Harold Dennis|Gemma Garcia|Chelsea Taylor Leech|August Lysy|Walt Sloan|Joette Waters,English,1486
Survival Knife (2016), Horror| Thriller,26/01/2016,USA,RATED,3.6,90,Tara Davis|Danielle Donahue|Josh Ebel|Chrissy Jenness|Melody Joy|Tom Kolos|Jesse-Lee Lafferty|Bruce Lentz|Dawn Lilly|Kaitlyn Shoeb|Candice Starks|Lonnie Thomas|Melissa Troughtzmantz|Manfred Woodall,English,1368
Bajo la Rosa (2017), Crime| Drama| Horror| Mystery,09/07/1905,Spain,RATED,7,99,Ramiro Blas|Pedro Casablanc|Ignacio Fernández|Elisabet Gelabert|Zack Gómez|Miquel Insua|Eva Llorach|Carles Moreu|Patricia Olmedo|Piero Olmedo|Miriam Raya,Spanish,1298
The Hybrid (2014), Horror| Sci-Fi,03/04/2014,Sweden,RATED,4.7,94,John Lynch|Morjana Alaoui|Craig Conway|Antonia Thomas|Jumayn Hunter|Beth Winslet|Ned Dennehy|Perri Hanson|Edward Dogliani|Chris Ellis-Stanton|Sophia Hatfield|Aiste Gramantaite|Brendan O'Brien|Ebba O'Brien|Amy Cameron,English,1335
Killjoy Goes to Hell (2012), Comedy| Horror,15/09/2012,USA,NOT RATED,5.2,93,Trent Haaga|Victoria De Mare|Al Burke|Tai Chan Ngo|Jessica Whitaker|John Karyus|Lisa Goodman|Aqueela Zoll|Cecil Burroughs|Jason R. Moore|Randy Mermell|Raymond James Calhoun|Ian Roberts|Stephen F. Cardwell|Jim Tavaré,English,1211
Spidarlings (2016), Comedy| Horror| Musical| Romance| Thriller,01/07/2017,USA,RATED,7.5,120,Sophia Disgrace|Rahel Kapsaski|Lee Mark Jones|Rusty Goffe|Lloyd Kaufman|Jeff Kristian|Soozi Chameleone|Toshio Maeda|Gabriella Kapsaski|Kjell De Kerpel|Tiffaney Wells|Lynn Ruth Miller|Victor Sobchak|Salem Kapsaski|Kamelia Alexander,English,555
Mania (2015), Horror,18/09/2015,USA,RATED,5,88,Tristan Risk|Carlo Mendez|Ellie Church|Brian Williams|Rebecca Moore|Ryan M. Andrews|Steve Lochowitz|Jordan Pacheco|Brigid Macaulay|Jonathan Scott Higgins|Aaron M. Lane|Jason Hignite|Max Gomez|Brendan Miller|Jonathan Hatley,English,1318
Cult of the Vampire (2016), Fantasy| Horror,18/05/2016,France,RATED,6.5,77,Iva Stelmak|Megan Porter|Christina Collard|Jinny Lee Story|Peter J. Morton|John Michaelson|Joanna Ranee Wood|Sarah Himadeh|Spero Chumas|Phil Pritchard|Lorri Amsden|Julian R. Booth|Leonel Claude|Paul Cross|Elodie Hara,English,253
No Strings 2: Playtime in Hell (2012), Action| Crime| Drama| Horror| Thriller,16/06/2012,USA,NOT RATED,5.3,90,A.J. Khan|Julie Anne Prescott|Anne Ferrari|Damien Colletti|Max Wasa|Jacquelyn Velvets|Zoe Vargas|Brinke Stevens|Monique Dupree|Vania Mendez|Suzi Lorraine|Dani Thompson|Melantha Blackthorne|Brandi Asile|Kylee Nash,English,1961
Petak Umpet Minako (2017), Horror,07/09/2017,Indonesia,RATED,4.6,90,Regina Rengganis|Gandhi Fernando|Miller Khan|Natasha Gott|Nicky Tirta,Other,1102
House at the End of the Drive (2014), Horror| Thriller,11/01/2014,USA,RATED,6.7,90,James Aaron Oliver|Jonathan Mangum|Alison Raimondi|Angela Jones|Lance Henriksen|John-Dylan Howard|Marco Greco|Ellen Geer|Gizelle D'Cole|Yusuf Gatewood|Paydin LoPachin|Lisa Diane Morgan|Via Osgood|Jessica Szohr,English,277
Scary Tales (2014), Horror,18/07/2014,USA,NOT RATED,5.6,90,Crystal Aya|Forris Day Jr.|Artin DuPlessis|Kate Lago|Logan Lopez|Tim Pieciak|Sarah Surprenant|Jaki Valensi-Lauper,English,521
Hellmouth (2014), Horror,19/05/2015,USA,RATED,5.4,95,Stephen McHattie|Siobhan Murphy|Ari Millen|Tony Burgess|Mark Gibson|Boyd Banks|Bruce McDonald|Julian Richings|Adam Seybold|Kate Fenton|Tessa McHattie|Duncan McHattie|Camille Jones-Burgess|Griffin Jones-Burgess|Jason David Brown,English,785
Dead Rush (2016), Comedy| Horror,31/03/2016,Canada,RATED,3.2,78,Jamie Elizabeth Sampson|Alex MacPherson|Amylea Devauge|David Michael Moote|Raven Cousens|Timothy Paul McCarthy|Charlie Hamilton|Rich Piatkowski|Cassandra Derr|John Migliore|Andrew Dougherty|Caleigh Le Grand|Trevor Ramai Jr.|Austin Duffy|John Fielding,English,834
Deviant Behavior (2017), Horror,09/07/1905,USA,RATED,7.9,90,John Dugan|Ed Guinn|Bonnie Ann Coronado|Eric Rodrigue|Skeeter Ullman|Michael Cristian|Hannah Keller|Hendrik James|Kidd Garcia|Mario Aguilar|Sergio Contreras|Lance Murphy|Lisa McGrew|Jake Gonzales|Laura Schmitt,English,1271
